OrderID,Date,CustomerName,Product,Quantity,Price,Total,Region
1001,2021-01-05 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1002,2021-01-07 00:00:00,Jane Doe,Mobile,2.0,300.0,600.0,South
1004,2021-01-08 00:00:00,Sarah Miller,Tablet,3.0,250.0,750.0,West
1005,2021-01-10 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1006,2021-01-11 00:00:00,Unknown,Mobile,1.0,300.0,300.0,South
1007,2021-01-12 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1008,2021-01-12 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1009,2021-01-14 00:00:00,Michael Brown,Tablet,5.0,250.0,1250.0,West
1010,2021-01-15 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1012,2021-01-17 00:00:00,Jane Doe,Laptop,3.0,300.0,900.0,South
1014,2021-01-19 00:00:00,Michael Brown,Tablet,3.0,250.0,750.0,West
1015,2021-01-19 00:00:00,John Smith,Tablet,2.0,250.0,500.0,North
1016,2021-01-21 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1018,2021-01-23 00:00:00,Sarah Miller,Tablet,2.0,250.0,500.0,West
1019,2021-01-24 00:00:00,Michael Brown,Mobile,1.0,300.0,300.0,West
1020,2021-01-25 00:00:00,John Smith,Laptop,2.0,1200.0,2400.0,North
1022,2021-01-27 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1023,2021-01-28 00:00:00,Sarah Miller,Tablet,3.0,250.0,750.0,West
1024,2021-01-29 00:00:00,Unknown,Mobile,1.0,300.0,300.0,South
1025,2021-01-30 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1026,2021-02-01 00:00:00,Michael Brown,Tablet,3.0,250.0,750.0,West
1027,2021-02-02 00:00:00,Jane Doe,Mobile,2.0,300.0,600.0,South
1028,2021-02-03 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1029,2021-02-04 00:00:00,Unknown,Tablet,5.0,250.0,1250.0,West
1030,2021-02-05 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1031,2021-02-06 00:00:00,Jane Doe,Mobile,2.0,300.0,600.0,South
1033,2021-02-08 00:00:00,Adam Lee,Tablet,3.0,250.0,750.0,West
1034,2021-02-09 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
1036,2021-02-11 00:00:00,Jane Doe,Tablet,3.0,250.0,750.0,South
1037,2021-02-12 00:00:00,Michael Brown,Mobile,1.0,300.0,300.0,West
1038,2021-02-13 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1039,2021-02-14 00:00:00,Sarah Miller,Mobile,2.0,300.0,600.0,West
1040,2021-02-15 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1041,2021-02-16 00:00:00,Jane Doe,Mobile,3.0,300.0,900.0,South
1042,2021-02-17 00:00:00,Michael Brown,Tablet,4.0,250.0,1000.0,West
1043,2021-02-18 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1044,2021-02-19 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
1045,2021-02-20 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1046,2021-02-21 00:00:00,Jane Doe,Tablet,3.0,250.0,750.0,South
1047,2021-02-22 00:00:00,Unknown,Laptop,2.0,300.0,600.0,West
1048,2021-02-23 00:00:00,Michael Brown,Mobile,1.0,300.0,300.0,West
1050,2021-02-25 00:00:00,Sarah Miller,Tablet,3.0,250.0,750.0,West
1051,2021-02-26 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1052,2021-02-27 00:00:00,Jane Doe,Mobile,2.0,300.0,600.0,South
1054,2021-03-01 00:00:00,Adam Lee,Tablet,3.0,250.0,750.0,West
1055,2021-03-02 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
1056,2021-03-03 00:00:00,John Smith,Laptop,2.0,1200.0,2400.0,North
1057,2021-03-04 00:00:00,Jane Doe,Tablet,3.0,250.0,750.0,South
1058,2021-03-05 00:00:00,Michael Brown,Mobile,1.0,300.0,300.0,West
1059,2021-03-06 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1060,2021-03-07 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
1061,2021-03-08 00:00:00,John Smith,Tablet,2.0,250.0,500.0,North
1062,2021-03-09 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1064,2021-03-11 00:00:00,Adam Lee,Tablet,3.0,250.0,750.0,West
1065,2021-03-12 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
1066,2021-03-13 00:00:00,John Smith,Laptop,2.0,1200.0,2400.0,North
1067,2021-03-14 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1068,2021-03-15 00:00:00,Michael Brown,Tablet,3.0,250.0,750.0,West
1069,2021-03-16 00:00:00,Adam Lee,Mobile,1.0,300.0,300.0,East
1070,2021-03-17 00:00:00,Sarah Miller,Laptop,1.0,1200.0,1200.0,West
1071,2021-03-18 00:00:00,John Smith,Tablet,2.0,250.0,500.0,North
1072,2021-03-18 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1073,2021-03-20 00:00:00,Michael Brown,Laptop,2.0,1200.0,2400.0,East
1074,2021-03-21 00:00:00,Adam Lee,Tablet,3.0,250.0,750.0,West
1075,2021-03-22 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
1076,2021-03-23 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1077,2021-03-24 00:00:00,Jane Doe,Tablet,3.0,250.0,750.0,South
1078,2021-03-25 00:00:00,Michael Brown,Mobile,1.0,300.0,300.0,West
1079,2021-03-26 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1080,2021-03-27 00:00:00,Sarah Miller,Tablet,3.0,250.0,750.0,West
1081,2021-03-27 00:00:00,John Smith,Tablet,2.0,250.0,500.0,North
1082,2021-03-29 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1083,2021-03-30 00:00:00,Michael Brown,Laptop,2.0,1200.0,2400.0,East
1084,2021-03-31 00:00:00,Adam Lee,Tablet,3.0,250.0,750.0,West
1085,2021-04-01 00:00:00,Unknown,Mobile,1.0,300.0,300.0,South
1086,2021-04-02 00:00:00,John Smith,Laptop,1.0,1200.0,1200.0,North
1087,2021-04-03 00:00:00,Jane Doe,Mobile,1.0,300.0,300.0,South
1088,2021-04-04 00:00:00,Michael Brown,Tablet,3.0,250.0,750.0,West
1089,2021-04-05 00:00:00,Adam Lee,Laptop,2.0,1200.0,2400.0,East
1090,2021-04-06 00:00:00,Sarah Miller,Mobile,1.0,300.0,300.0,West
